
TEST CASES
case	Адрес	Стоимость заказа	Высота заказа	Длина заказа	Ширина заказа	Вес заказа	pairings
44	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	20000	0	Не заполнено	40,1	0,001	14
45	Верхний регистр, любой алфавит (МОСКВА)	9999,99	30,1	30	40,1	7,5	15
46	Нижний регистр, любой алфавит (almaty)	5000	45	20,1	40,1	14,999	15
47	город не из РФ на латинице (Minsk)	0,01	59,9	40	40,1	15	12
48	город не из РФ на кириллице (Минск)	0	60	0,1	40,1	15,001	13
49	город из РФ на латинице (Novosibirsk)	19999,99	0,1	10	40,1	5	12
50	Название города через один дефис, любой алфавит (Санкт-Петербург)	10000	30	40,1	40,1	9,999	12
51	город не из РФ на латинице (Minsk)	5000	0	30	12,5	0	13
52	Название города через один дефис, любой алфавит (Санкт-Петербург)	9999,99	Не заполнено	20,1	12,5	0,001	15
53	город из РФ на латинице (Novosibirsk)	20000	45	0	12,5	7,5	12
54	Верхний регистр, любой алфавит (МОСКВА)	20000,01	30,1	Не заполнено	12,5	14,999	14
55	город из РФ на кириллице (Новосибирск)	10000	60	20	12,5	15	12
56	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	19999,99	59,9	40,1	12,5	15,001	13
57	город не из РФ на кириллице (Минск)	0	30	40	12,5	5	11
58	Нижний регистр, любой алфавит (almaty)	0,01	0,1	19,9	12,5	9,999	11
59	город не из РФ на кириллице (Минск)	9999,99	45	Не заполнено	24,9	0	14
60	город не из РФ на латинице (Minsk)	5000	30,1	0	24,9	0,001	12
61	город из РФ на кириллице (Новосибирск)	20000,01	0	20,1	24,9	7,5	12
62	Нижний регистр, любой алфавит (almaty)	20000	Не заполнено	30	24,9	14,999	14
63	город не из РФ на латинице (Minsk)	19999,99	30	19,9	24,9	15	10
64	город из РФ на латинице (Novosibirsk)	10000	0,1	40	24,9	15,001	11
65	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	0,01	60	39,9	24,9	5	12
66	Верхний регистр, любой алфавит (МОСКВА)	0	59,9	10	24,9	9,999	12
67	город не из РФ на кириллице (Минск)	15000	29,9	0	24,9	10	13
68	город из РФ на латинице (Novosibirsk)	10000,01	0	40,1	24,9	10,001	12
69	Название города через один дефис, любой алфавит (Санкт-Петербург)	Не заполнено	60,1	20	24,9	12,5	14
70	Название города через один дефис, любой алфавит (Санкт-Петербург)	10000,01	60	40	25	0	14
71	город из РФ на латинице (Novosibirsk)	15000	60,1	39,9	25	0,001	13
72	Верхний регистр, любой алфавит (МОСКВА)	Не заполнено	15	0,1	25	7,5	13
73	город из РФ на латинице (Novosibirsk)	0	29,9	19,9	25	14,999	10
74	город не из РФ на кириллице (Минск)	0,01	30,1	20,1	25	15	12
75	город не из РФ на латинице (Minsk)	10000	45	30	25	15,001	11
76	Нижний регистр, любой алфавит (almaty)	20000,01	0	20	25	5	9
77	город из РФ на кириллице (Новосибирск)	5000	0,1	Не заполнено	25	9,999	10
78	город из РФ на кириллице (Новосибирск)	0	Не заполнено	40,1	25	10	11
79	Верхний регистр, любой алфавит (МОСКВА)	0,01	60,1	0	25	10,001	10
80	город не из РФ на кириллице (Минск)	10000	15	10	25	12,5	10
81	Нижний регистр, любой алфавит (almaty)	15000	0,1	10	25,1	0	11
82	Верхний регистр, любой алфавит (МОСКВА)	10000,01	15	19,9	25,1	0,001	12
83	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	0,01	29,9	30	25,1	7,5	11
84	город из РФ на латинице (Novosibirsk)	Не заполнено	60	20,1	25,1	14,999	13
85	Название города через один дефис, любой алфавит (Санкт-Петербург)	20000,01	30	0,1	25,1	15	9
86	Верхний регистр, любой алфавит (МОСКВА)	5000	0	39,9	25,1	15,001	9
87	город из РФ на кириллице (Новосибирск)	10000,01	30,1	20	25,1	5	12
88	город не из РФ на латинице (Minsk)	15000	45	0,1	25,1	9,999	11
89	город из РФ на латинице (Novosibirsk)	0,01	15	Не заполнено	25,1	10	10
90	город из РФ на кириллице (Новосибирск)	0	60,1	20,1	25,1	10,001	10
91	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	19999,99	Не заполнено	40	25,1	12,5	13
92	город не из РФ на кириллице (Минск)	10000	60,1	Не заполнено	25,1	Не заполнено	10
93	город из РФ на кириллице (Новосибирск)	Не заполнено	29,9	39,9	32,5	0	12
94	город не из РФ на кириллице (Минск)	10000,01	0,1	20,1	32,5	7,5	12
95	Название города через один дефис, любой алфавит (Санкт-Петербург)	15000	30	30	32,5	14,999	12
96	Нижний регистр, любой алфавит (almaty)	5000	59,9	Не заполнено	32,5	15	10
97	город из РФ на латинице (Novosibirsk)	10000,01	Не заполнено	20	32,5	15,001	10
98	город не из РФ на латинице (Minsk)	Не заполнено	30,1	10	32,5	9,999	11
99	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	10000	30,1	19,9	32,5	10	11
100	Верхний регистр, любой алфавит (МОСКВА)	19999,99	45	0,1	32,5	10,001	10
101	город из РФ на кириллице (Новосибирск)	15000	59,9	19,9	Не заполнено	7,5	11
102	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	10000,01	60,1	30	Не заполнено	14,999	11
103	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	Не заполнено	45	39,9	Не заполнено	15	12
104	Название города через один дефис, любой алфавит (Санкт-Петербург)	15000	30,1	Не заполнено	Не заполнено	15,001	12
105	город из РФ на латинице (Novosibirsk)	10000,01	30	20,1	Не заполнено	9,999	10
106	Нижний регистр, любой алфавит (almaty)	5000	0,1	0,1	Не заполнено	10	10
107	Нижний регистр, любой алфавит (almaty)	10000	29,9	20,1	Не заполнено	10,001	10
108	город из РФ на кириллице (Новосибирск)	0	15	30	Не заполнено	12,5	11
109	город не из РФ на латинице (Minsk)	0,01	Не заполнено	40,1	Не заполнено	Не заполнено	12
110	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	19999,99	15	20,1	Не заполнено	0	8
111	город не из РФ на кириллице (Минск)	Не заполнено	60	Не заполнено	Не заполнено	0,001	8
112	Верхний регистр, любой алфавит (МОСКВА)	15000	Не заполнено	20,1	Не заполнено	5	10
113	Название города через один дефис, любой алфавит (Санкт-Петербург)	Не заполнено	45	30	0	10	10
114	Название города через один дефис, любой алфавит (Санкт-Петербург)	5000	30,1	39,9	0	10,001	8
115	город не из РФ на латинице (Minsk)	10000,01	29,9	Не заполнено	0	12,5	11
116	город из РФ на кириллице (Новосибирск)	10000,01	45	10	0	Не заполнено	9
117	Верхний регистр, любой алфавит (МОСКВА)	10000,01	59,9	30	0,1	10	7
118	город не из РФ на кириллице (Минск)	Не заполнено	Не заполнено	19,9	0,1	10,001	12
119	город из РФ на латинице (Novosibirsk)	5000	30,1	0,1	0,1	12,5	8
120	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	15000	0	40	0,1	Не заполнено	8
121	город из РФ на латинице (Novosibirsk)	Не заполнено	0,1	30	20	10,001	8
122	Верхний регистр, любой алфавит (МОСКВА)	15000	60	40,1	20	12,5	8
123	Нижний регистр, любой алфавит (almaty)	5000	30,1	20	20	Не заполнено	8
124	Название города через один дефис, любой алфавит (Санкт-Петербург)	19999,99	29,9	20,1	20	10	6
125	Нижний регистр, любой алфавит (almaty)	Не заполнено	30	Не заполнено	39,9	10,001	8
126	Нижний регистр, любой алфавит (almaty)	20000	59,9	20,1	39,9	12,5	8
127	город не из РФ на латинице (Minsk)	0	15	0	39,9	Не заполнено	6
128	~город из РФ на латинице (Novosibirsk)	20000,01	60	39,9	39,9	10	5
129	Верхний регистр, любой алфавит (МОСКВА)	Не заполнено	29,9	0,1	40	Не заполнено	8
130	город не из РФ на латинице (Minsk)	20000	60	20	40,1	10,001	6
131	город из РФ на латинице (Novosibirsk)	19999,99	60,1	39,9	40,1	Не заполнено	7
132	~город не из РФ на кириллице (Минск)	9999,99	0	10	40,1	10	5
133	Нижний регистр, любой алфавит (almaty)	10000,01	29,9	0	40,1	12,5	6
134	Название города через один дефис, любой алфавит (Санкт-Петербург)	20000	0,1	39,9	12,5	Не заполнено	7
135	~город из РФ на кириллице (Новосибирск)	Не заполнено	0	40	12,5	10	5
136	~Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	9999,99	59,9	0,1	12,5	10,001	6
137	~город из РФ на кириллице (Новосибирск)	9999,99	30	39,9	12,5	12,5	6
138	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	9999,99	30	0	25	Не заполнено	7
139	~Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	0	45	Не заполнено	32,5	5	6
140	~Название города через один дефис, любой алфавит (Санкт-Петербург)	0,01	0	19,9	32,5	12,5	7
141	~город из РФ на латинице (Novosibirsk)	20000	60	30	32,5	Не заполнено	6
142	~город не из РФ на латинице (Minsk)	9999,99	15	40,1	32,5	0,001	5
143	Нижний регистр, любой алфавит (almaty)	19999,99	30,1	40	0	7,5	4
144	город не из РФ на латинице (Minsk)	20000	15	0,1	0	14,999	3
145	~город не из РФ на кириллице (Минск)	9999,99	Не заполнено	0	0	15	3
146	~Нижний регистр, любой алфавит (almaty)	10000,01	45	39,9	20	15	4
147	~город из РФ на кириллице (Новосибирск)	15000	30,1	30	39,9	15	5
148	~Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	Не заполнено	15	20	40,1	10	3
149	~Верхний регистр, любой алфавит (МОСКВА)	20000,01	15	20,1	12,5	Не заполнено	3
150	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	5000	60,1	40,1	12,5	0	4
151	~город из РФ на латинице (Novosibirsk)	Не заполнено	29,9	10	12,5	0,001	4
152	~Нижний регистр, любой алфавит (almaty)	9999,99	15	0,1	24,9	Не заполнено	3
153	~Нижний регистр, любой алфавит (almaty)	9999,99	60	40,1	25,1	7,5	4
154	~город не из РФ на латинице (Minsk)	Не заполнено	59,9	0	25,1	15,001	6
155	~город не из РФ на кириллице (Минск)	20000,01	60,1	40	32,5	7,5	4
156	~Верхний регистр, любой алфавит (МОСКВА)	9999,99	0,1	0	Не заполнено	5	4
157	~Верхний регистр, любой алфавит (МОСКВА)	20000	0	20	Не заполнено	9,999	5
158	~Нижний регистр, любой алфавит (almaty)	Не заполнено	Не заполнено	0,1	0	5	3
159	~город из РФ на латинице (Novosibirsk)	0	30,1	39,9	0	9,999	2
160	~Верхний регистр, любой алфавит (МОСКВА)	20000	30	20,1	0	10	4
161	~город из РФ на кириллице (Новосибирск)	0,01	45	20	0,1	9,999	3
162	~Название города через один дефис, любой алфавит (Санкт-Петербург)	10000	Не заполнено	30	20	9,999	4
163	~Название города через один дефис, любой алфавит (Санкт-Петербург)	20000,01	45	40	39,9	10,001	4
164	~город не из РФ на кириллице (Минск)	20000,01	0,1	~20	39,9	12,5	3
165	~город не из РФ на латинице (Minsk)	19999,99	Не заполнено	10	39,9	Не заполнено	2
166	~город из РФ на латинице (Novosibirsk)	19999,99	45	40,1	40	12,5	3
167	~город из РФ на кириллице (Новосибирск)	20000,01	59,9	19,9	40,1	Не заполнено	4
168	~Название города через один дефис, любой алфавит (Санкт-Петербург)	19999,99	29,9	20	25	0	2
169	~Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	19999,99	30,1	40	25	0,001	1
170	~Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	20000	45	10	25	7,5	2
171	~город не из РФ на кириллице (Минск)	20000,01	30,1	40,1	Не заполнено	0	2
172	~Нижний регистр, любой алфавит (almaty)	15000	15	19,9	0	0	2
173	~город из РФ на кириллице (Новосибирск)	19999,99	15	Не заполнено	0,1	14,999	2
174	~город не из РФ на латинице (Minsk)	19999,99	0	30	0,1	15	2
175	~Название города через один дефис, любой алфавит (Санкт-Петербург)	9999,99	45	20,1	0,1	15,001	2
176	~город не из РФ на латинице (Minsk)	9999,99	45	19,9	20	14,999	1
177	~город не из РФ на кириллице (Минск)	5000	30	30	20	5	2
178	~город из РФ на кириллице (Новосибирск)	9999,99	Не заполнено	Не заполнено	20	10,001	1
179	~Верхний регистр, любой алфавит (МОСКВА)	10000,01	Не заполнено	39,9	39,9	14,999	2
180	~Название города через один дефис, любой алфавит (Санкт-Петербург)	9999,99	15	39,9	40	14,999	2
181	~город не из РФ на латинице (Minsk)	15000	~0,1	10	40,1	10,001	2
182	~город не из РФ на кириллице (Минск)	15000	~60	10	12,5	14,999	2
183	~Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	10000,01	~0,1	40,1	12,5	14,999	2
184	~город из РФ на латинице (Novosibirsk)	9999,99	59,9	20	25	~15	2
185	~город из РФ на латинице (Novosibirsk)	20000	~30	~40	25,1	~0,001	1
186	~город из РФ на кириллице (Новосибирск)	Не заполнено	~59,9	40,1	32,5	~0,001	1
187	~Верхний регистр, любой алфавит (МОСКВА)	~0	~60,1	0	32,5	~15	1
188	~Название города через один дефис, любой алфавит (Санкт-Петербург)	~0	~60	10	Не заполнено	~0,001	1
189	~Верхний регистр, любой алфавит (МОСКВА)	~10000	~29,9	40	Не заполнено	~15	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
Ширина заказа	Вес заказа	0	0	2	1, 172
Ширина заказа	Вес заказа	0	0,001	1	2
Ширина заказа	Вес заказа	0	7,5	2	3, 143
Ширина заказа	Вес заказа	0	14,999	2	4, 144
Ширина заказа	Вес заказа	0	15	2	5, 145
Ширина заказа	Вес заказа	0	15,001	1	6
Ширина заказа	Вес заказа	0	5	2	7, 158
Ширина заказа	Вес заказа	0	9,999	2	8, 159
Ширина заказа	Вес заказа	0	10	2	113, 160
Ширина заказа	Вес заказа	0	10,001	1	114
Ширина заказа	Вес заказа	0	12,5	1	115
Ширина заказа	Вес заказа	0	Не заполнено	1	116
Ширина заказа	Вес заказа	0,1	0	1	9
Ширина заказа	Вес заказа	0,1	0,001	1	10
Ширина заказа	Вес заказа	0,1	7,5	1	11
Ширина заказа	Вес заказа	0,1	14,999	2	12, 173
Ширина заказа	Вес заказа	0,1	15	2	13, 174
Ширина заказа	Вес заказа	0,1	15,001	2	14, 175
Ширина заказа	Вес заказа	0,1	5	1	15
Ширина заказа	Вес заказа	0,1	9,999	2	16, 161
Ширина заказа	Вес заказа	0,1	10	1	117
Ширина заказа	Вес заказа	0,1	10,001	1	118
Ширина заказа	Вес заказа	0,1	12,5	1	119
Ширина заказа	Вес заказа	0,1	Не заполнено	1	120
Ширина заказа	Вес заказа	20	0	1	17
Ширина заказа	Вес заказа	20	0,001	1	18
Ширина заказа	Вес заказа	20	7,5	1	19
Ширина заказа	Вес заказа	20	14,999	2	20, 176
Ширина заказа	Вес заказа	20	15	2	21, 146
Ширина заказа	Вес заказа	20	15,001	1	22
Ширина заказа	Вес заказа	20	5	2	23, 177
Ширина заказа	Вес заказа	20	9,999	2	24, 162
Ширина заказа	Вес заказа	20	10	1	124
Ширина заказа	Вес заказа	20	10,001	2	121, 178
Ширина заказа	Вес заказа	20	12,5	1	122
Ширина заказа	Вес заказа	20	Не заполнено	1	123
Ширина заказа	Вес заказа	39,9	0	1	25
Ширина заказа	Вес заказа	39,9	0,001	1	26
Ширина заказа	Вес заказа	39,9	7,5	1	27
Ширина заказа	Вес заказа	39,9	14,999	2	28, 179
Ширина заказа	Вес заказа	39,9	15	2	29, 147
Ширина заказа	Вес заказа	39,9	15,001	1	30
Ширина заказа	Вес заказа	39,9	5	1	31
Ширина заказа	Вес заказа	39,9	9,999	1	32
Ширина заказа	Вес заказа	39,9	10	1	128
Ширина заказа	Вес заказа	39,9	10,001	2	125, 163
Ширина заказа	Вес заказа	39,9	12,5	2	126, 164
Ширина заказа	Вес заказа	39,9	Не заполнено	2	127, 165
Ширина заказа	Вес заказа	40	0	1	33
Ширина заказа	Вес заказа	40	0,001	1	34
Ширина заказа	Вес заказа	40	7,5	1	35
Ширина заказа	Вес заказа	40	14,999	2	36, 180
Ширина заказа	Вес заказа	40	15	1	37
Ширина заказа	Вес заказа	40	15,001	1	38
Ширина заказа	Вес заказа	40	5	1	39
Ширина заказа	Вес заказа	40	9,999	1	40
Ширина заказа	Вес заказа	40	10	1	41
Ширина заказа	Вес заказа	40	10,001	1	42
Ширина заказа	Вес заказа	40	12,5	1	166
Ширина заказа	Вес заказа	40	Не заполнено	1	129
Ширина заказа	Вес заказа	40,1	0	1	43
Ширина заказа	Вес заказа	40,1	0,001	1	44
Ширина заказа	Вес заказа	40,1	7,5	1	45
Ширина заказа	Вес заказа	40,1	14,999	1	46
Ширина заказа	Вес заказа	40,1	15	1	47
Ширина заказа	Вес заказа	40,1	15,001	1	48
Ширина заказа	Вес заказа	40,1	5	1	49
Ширина заказа	Вес заказа	40,1	9,999	1	50
Ширина заказа	Вес заказа	40,1	10	2	132, 148
Ширина заказа	Вес заказа	40,1	10,001	2	130, 181
Ширина заказа	Вес заказа	40,1	12,5	1	133
Ширина заказа	Вес заказа	40,1	Не заполнено	2	131, 167
Ширина заказа	Вес заказа	12,5	0	2	51, 150
Ширина заказа	Вес заказа	12,5	0,001	2	52, 151
Ширина заказа	Вес заказа	12,5	7,5	1	53
Ширина заказа	Вес заказа	12,5	14,999	3	54, 182, 183
Ширина заказа	Вес заказа	12,5	15	1	55
Ширина заказа	Вес заказа	12,5	15,001	1	56
Ширина заказа	Вес заказа	12,5	5	1	57
Ширина заказа	Вес заказа	12,5	9,999	1	58
Ширина заказа	Вес заказа	12,5	10	1	135
Ширина заказа	Вес заказа	12,5	10,001	1	136
Ширина заказа	Вес заказа	12,5	12,5	1	137
Ширина заказа	Вес заказа	12,5	Не заполнено	2	134, 149
Ширина заказа	Вес заказа	24,9	0	1	59
Ширина заказа	Вес заказа	24,9	0,001	1	60
Ширина заказа	Вес заказа	24,9	7,5	1	61
Ширина заказа	Вес заказа	24,9	14,999	1	62
Ширина заказа	Вес заказа	24,9	15	1	63
Ширина заказа	Вес заказа	24,9	15,001	1	64
Ширина заказа	Вес заказа	24,9	5	1	65
Ширина заказа	Вес заказа	24,9	9,999	1	66
Ширина заказа	Вес заказа	24,9	10	1	67
Ширина заказа	Вес заказа	24,9	10,001	1	68
Ширина заказа	Вес заказа	24,9	12,5	1	69
Ширина заказа	Вес заказа	24,9	Не заполнено	1	152
Ширина заказа	Вес заказа	25	0	2	70, 168
Ширина заказа	Вес заказа	25	0,001	2	71, 169
Ширина заказа	Вес заказа	25	7,5	2	72, 170
Ширина заказа	Вес заказа	25	14,999	1	73
Ширина заказа	Вес заказа	25	15	2	74, 184
Ширина заказа	Вес заказа	25	15,001	1	75
Ширина заказа	Вес заказа	25	5	1	76
Ширина заказа	Вес заказа	25	9,999	1	77
Ширина заказа	Вес заказа	25	10	1	78
Ширина заказа	Вес заказа	25	10,001	1	79
Ширина заказа	Вес заказа	25	12,5	1	80
Ширина заказа	Вес заказа	25	Не заполнено	1	138
Ширина заказа	Вес заказа	25,1	0	1	81
Ширина заказа	Вес заказа	25,1	0,001	2	82, 185
Ширина заказа	Вес заказа	25,1	7,5	2	83, 153
Ширина заказа	Вес заказа	25,1	14,999	1	84
Ширина заказа	Вес заказа	25,1	15	1	85
Ширина заказа	Вес заказа	25,1	15,001	2	86, 154
Ширина заказа	Вес заказа	25,1	5	1	87
Ширина заказа	Вес заказа	25,1	9,999	1	88
Ширина заказа	Вес заказа	25,1	10	1	89
Ширина заказа	Вес заказа	25,1	10,001	1	90
Ширина заказа	Вес заказа	25,1	12,5	1	91
Ширина заказа	Вес заказа	25,1	Не заполнено	1	92
Ширина заказа	Вес заказа	32,5	0	1	93
Ширина заказа	Вес заказа	32,5	0,001	2	142, 186
Ширина заказа	Вес заказа	32,5	7,5	2	94, 155
Ширина заказа	Вес заказа	32,5	14,999	1	95
Ширина заказа	Вес заказа	32,5	15	2	96, 187
Ширина заказа	Вес заказа	32,5	15,001	1	97
Ширина заказа	Вес заказа	32,5	5	1	139
Ширина заказа	Вес заказа	32,5	9,999	1	98
Ширина заказа	Вес заказа	32,5	10	1	99
Ширина заказа	Вес заказа	32,5	10,001	1	100
Ширина заказа	Вес заказа	32,5	12,5	1	140
Ширина заказа	Вес заказа	32,5	Не заполнено	1	141
Ширина заказа	Вес заказа	Не заполнено	0	2	110, 171
Ширина заказа	Вес заказа	Не заполнено	0,001	2	111, 188
Ширина заказа	Вес заказа	Не заполнено	7,5	1	101
Ширина заказа	Вес заказа	Не заполнено	14,999	1	102
Ширина заказа	Вес заказа	Не заполнено	15	2	103, 189
Ширина заказа	Вес заказа	Не заполнено	15,001	1	104
Ширина заказа	Вес заказа	Не заполнено	5	2	112, 156
Ширина заказа	Вес заказа	Не заполнено	9,999	2	105, 157
Ширина заказа	Вес заказа	Не заполнено	10	1	106
Ширина заказа	Вес заказа	Не заполнено	10,001	1	107
Ширина заказа	Вес заказа	Не заполнено	12,5	1	108
Ширина заказа	Вес заказа	Не заполнено	Не заполнено	1	109
Ширина заказа	Стоимость заказа	0	0	2	1, 159
Ширина заказа	Стоимость заказа	0	0,01	1	2
Ширина заказа	Стоимость заказа	0	10000	1	3
Ширина заказа	Стоимость заказа	0	19999,99	2	4, 143
Ширина заказа	Стоимость заказа	0	20000	3	5, 144, 160
Ширина заказа	Стоимость заказа	0	20000,01	1	6
Ширина заказа	Стоимость заказа	0	5000	2	7, 114
Ширина заказа	Стоимость заказа	0	9999,99	2	8, 145
Ширина заказа	Стоимость заказа	0	10000,01	2	115, 116
Ширина заказа	Стоимость заказа	0	15000	1	172
Ширина заказа	Стоимость заказа	0	Не заполнено	2	113, 158
Ширина заказа	Стоимость заказа	0,1	0	1	10
Ширина заказа	Стоимость заказа	0,1	0,01	2	9, 161
Ширина заказа	Стоимость заказа	0,1	10000	1	12
Ширина заказа	Стоимость заказа	0,1	19999,99	3	11, 173, 174
Ширина заказа	Стоимость заказа	0,1	20000	1	14
Ширина заказа	Стоимость заказа	0,1	20000,01	1	13
Ширина заказа	Стоимость заказа	0,1	5000	2	16, 119
Ширина заказа	Стоимость заказа	0,1	9999,99	2	15, 175
Ширина заказа	Стоимость заказа	0,1	10000,01	1	117
Ширина заказа	Стоимость заказа	0,1	15000	1	120
Ширина заказа	Стоимость заказа	0,1	Не заполнено	1	118
Ширина заказа	Стоимость заказа	20	0	1	19
Ширина заказа	Стоимость заказа	20	0,01	1	20
Ширина заказа	Стоимость заказа	20	10000	2	17, 162
Ширина заказа	Стоимость заказа	20	19999,99	2	18, 124
Ширина заказа	Стоимость заказа	20	20000	1	23
Ширина заказа	Стоимость заказа	20	20000,01	1	24
Ширина заказа	Стоимость заказа	20	5000	3	21, 123, 177
Ширина заказа	Стоимость заказа	20	9999,99	3	22, 176, 178
Ширина заказа	Стоимость заказа	20	10000,01	1	146
Ширина заказа	Стоимость заказа	20	15000	1	122
Ширина заказа	Стоимость заказа	20	Не заполнено	1	121
Ширина заказа	Стоимость заказа	39,9	0	2	28, 127
Ширина заказа	Стоимость заказа	39,9	0,01	1	27
Ширина заказа	Стоимость заказа	39,9	10000	1	26
Ширина заказа	Стоимость заказа	39,9	19999,99	2	25, 165
Ширина заказа	Стоимость заказа	39,9	20000	2	32, 126
Ширина заказа	Стоимость заказа	39,9	20000,01	4	31, 128, 163, 164
Ширина заказа	Стоимость заказа	39,9	5000	1	30
Ширина заказа	Стоимость заказа	39,9	9999,99	1	29
Ширина заказа	Стоимость заказа	39,9	10000,01	1	179
Ширина заказа	Стоимость заказа	39,9	15000	1	147
Ширина заказа	Стоимость заказа	39,9	Не заполнено	1	125
Ширина заказа	Стоимость заказа	40	0	1	37
Ширина заказа	Стоимость заказа	40	0,01	1	38
Ширина заказа	Стоимость заказа	40	10000	1	39
Ширина заказа	Стоимость заказа	40	19999,99	2	40, 166
Ширина заказа	Стоимость заказа	40	20000	1	33
Ширина заказа	Стоимость заказа	40	20000,01	1	34
Ширина заказа	Стоимость заказа	40	5000	1	35
Ширина заказа	Стоимость заказа	40	9999,99	2	36, 180
Ширина заказа	Стоимость заказа	40	10000,01	1	41
Ширина заказа	Стоимость заказа	40	15000	1	42
Ширина заказа	Стоимость заказа	40	Не заполнено	1	129
